Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
External Fragmentation (Vertical);1;all; ;0.5758114523226777;0.5754581969324402;0.5769256081270799;0.571458183268599;0.5719408580811328;0.5747553784882142;0.5770229517951995;0.574703212543564;0.5754123091675454;0.578516275664115
External Fragmentation (Vertical);2;all; ;0.5934917733850262;0.5868989498291162;0.5909797065378185;0.5919919544153691;0.5955492397124661;0.5967295866965857;0.5906507405782213;0.5996351004923004;0.5952668936550222;0.5900670562729108
External Fragmentation (Vertical);3;all; ;0.6129818671025647;0.6057948453693639;0.6076511583567833;0.6116686642425591;0.6073627283767267;0.6119295905007333;0.6109236553718062;0.6143129400984306;0.6077590026040409;0.6152590566007394
External Fragmentation (Vertical);4;all; ;0.6292545245820476;0.6238687046796226;0.62504910308974;0.6303054102866262;0.6249548402999598;0.6275325042841996;0.623778174532836;0.6210984780252973;0.6238034736964013;0.6240038071571107
External Fragmentation (Vertical);5;all; ;0.6383948975510718;0.6400846731989215;0.6407004383883892;0.6397798083140107;0.637532049114483;0.643797126412124;0.6401850379764056;0.6372324427106429;0.6364726695414958;0.6412231660319773


External Fragmentation (Horizontal);1;all; ;0.6231359998957142;0.6221463931418905;0.6240914339120883;0.6211278966324095;0.6217171469500411;0.6258113711702937;0.6252123515621477;0.6256792362593864;0.6214183062825719;0.6245476258077515
External Fragmentation (Horizontal);2;all; ;0.6323857619998567;0.6297583648098498;0.6331377968790564;0.6342900350033879;0.6339274587535303;0.6358540164352567;0.6309747988173416;0.6358784447164659;0.6332219556359998;0.6332032118362946
External Fragmentation (Horizontal);3;all; ;0.6439345184762211;0.6388837116686912;0.6422870056363575;0.6423988618448404;0.640664773284637;0.6427325651222121;0.6422173800517745;0.6421624727531957;0.6422024777789126;0.6442431543276587
External Fragmentation (Horizontal);4;all; ;0.6516400534642114;0.6499671369066391;0.6455977979604343;0.6500835369099999;0.6480696295405965;0.6489419099525194;0.6477863890949426;0.6451877868974464;0.6487792707732085;0.648113863569458
