Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
bandwidth blocking probability;1;all;all;all; ;0.14411827992807588;0.1393692716501704;0.1376556368926763;0.13784523173133434;0.13835210236564802;0.1414315736789887;0.1368984732890621;0.13856714476981874;0.14248845636261026;0.13664692320102417
bandwidth blocking probability;2;all;all;all; ;0.16376954882046924;0.1676046713874443;0.16467791943508023;0.16413020829953914;0.16574418109443215;0.17122701875903035;0.16819909014527956;0.16167303356170412;0.17038904098477028;0.1657944939598501
bandwidth blocking probability;3;all;all;all; ;0.19175801598732192;0.18917611217224348;0.1899708975934838;0.18761653492975702;0.18919841127218712;0.19257235899163083;0.18943482955179214;0.18745271711053782;0.19101084216629405;0.18985549317554687
bandwidth blocking probability;4;all;all;all; ;0.20813554792644492;0.2120717507705748;0.20900606393724713;0.21135408234921302;0.22343743741835828;0.2147408054818811;0.21868652620096068;0.21648180575817158;0.21055152914406272;0.21864590122385066
bandwidth blocking probability;5;all;all;all; ;0.2370903325684601;0.234453200419394;0.23064662598139474;0.23581363258100285;0.2372612114249232;0.23343350023954554;0.23316280083727273;0.24289266598780535;0.2382122638002904;0.2386628610904522


bandwidth blocking probabilities per pair;1;all;5;2; ;0.12228743015157732;0.10716628690730333;0.1413103352350921;0.09224671263611883;0.20189910423097596;0.17935097436079014;0.14679787641952283;0.22576676433880594;0.1652193985137645;0.13909829345723376
bandwidth blocking probabilities per pair;1;all;6;10; ;0.0;2.659964647639323E-4;0.003502676081998989;0.0;0.0;0.0;0.0;0.0016472518314829033;0.0;0.0
bandwidth blocking probabilities per pair;1;all;11;5; ;0.07922151725520317;0.1434022721263878;0.09387137626582863;0.1217070584644443;0.15116767823419577;0.2039662783717353;0.11709722598062715;0.15912527794565703;0.14120247617608545;0.1276626351552567
bandwidth blocking probabilities per pair;1;all;11;2; ;0.13448198819150234;0.11330475364746721;0.13445200135649765;0.16827576917813725;0.19009875838343357;0.13264378979939218;0.14405201744753815;0.09979884787630601;0.17464498713617146;0.15456580263584466
bandwidth blocking probabilities per pair;1;all;10;3; ;1.9086233589662177E-4;8.795316444881916E-5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.881223160052363E-4
bandwidth blocking probabilities per pair;1;all;7;11; ;0.4547703492949966;0.45318312409673644;0.36346841885481357;0.45691677050163654;0.44428401582466087;0.4417544906615968;0.44021104796481997;0.5278980076895329;0.5065862188785456;0.40226583343201155
bandwidth blocking probabilities per pair;1;all;5;3; ;0.15246899257813032;0.12356125255250405;0.07504202795677596;0.16163459464398894;0.13740677540825244;0.1980856280440168;0.092819873990336;0.12705473546467835;0.09768451758217009;0.20565635333019533
bandwidth blocking probabilities per pair;1;all;6;12; ;0.0;0.0;0.0;0.0;0.0;2.9150392130899153E-4;0.0;0.0;0.0;0.0
