Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
External Fragmentation (Vertical);1;all; ;0.575978197700656;0.5739951304440872;0.5763698290462881;0.5729487426943535;0.576590402529705;0.5748934682429232;0.5729620930944135;0.5747831383445069;0.5738383615759796;0.5710743262909562
External Fragmentation (Vertical);2;all; ;0.5939577279557898;0.5971141399544797;0.5923005848450473;0.5950078634447661;0.5964059943901744;0.5968399989958867;0.5967255583894022;0.594199032245231;0.5916486158910745;0.5967511137990998
External Fragmentation (Vertical);3;all; ;0.6139789416708118;0.605437008022151;0.6095018246670589;0.6121325645602521;0.6104983693457123;0.604980097090806;0.6110105354674024;0.6134953176844903;0.6108241187456946;0.61122429208501
External Fragmentation (Vertical);4;all; ;0.6280177980169143;0.6237702161102542;0.6285838775167333;0.6279504152512512;0.6268007425684917;0.621023281453945;0.6215793335707572;0.625080539983461;0.6228506412305261;0.625048871470559
External Fragmentation (Vertical);5;all; ;0.6364444012420329;0.6381058749474264;0.6408505305772823;0.6339787469974506;0.6441848969683431;0.6339007844106871;0.638115667278284;0.6381923569157388;0.6389813485430728;0.6411963431582589


External Fragmentation (Horizontal);1;all; ;0.6267019445661131;0.6229330596988741;0.6258049010812269;0.6221892376319916;0.6249388347309143;0.6255001689340733;0.6214739847067022;0.623042021796055;0.6242699868537868;0.621269808075162
External Fragmentation (Horizontal);2;all; ;0.6352839252816708;0.6369637849882841;0.630715780563728;0.6349110853802198;0.6343117896887202;0.635166075017207;0.634391058806208;0.6359744289004668;0.6324637466456857;0.6364160655728013
External Fragmentation (Horizontal);3;all; ;0.6432660435556806;0.640753654368202;0.6420508662879361;0.643046964833582;0.6417999544908072;0.6425607598831797;0.6453636332913476;0.6424431704605886;0.641755553374592;0.6422649608618498
External Fragmentation (Horizontal);4;all; ;0.651717482449659;0.6485116922711884;0.6489543529779271;0.6485971988677831;0.6530017004231373;0.6452627083809522;0.6483341303590792;0.64877511488939;0.647446538374645;0.6506066376511855
External Fragmentation (Horizontal);5;all; ;0.6520971550449484;0.6531849476361096;0.6542617460733732;0.6531318603951953;0.6563025535838282;0.6494021650310661;0.6534191160961209;0.6532410604504241;0.6520994228094332;0.6552409461173843


External Fragmentation Per Link;1;<14-11>; ;0.7135880200066316;0.7087006002543355;0.722324542447788;0.6993697473178796;0.7051025250928621;0.6906018725224004;0.7090688035335697;0.7013383118208704;0.6971462386794471;0.7190747929496442
External Fragmentation Per Link;1;<6-13>; ;0.4864300818258189;0.4611898214273985;0.46855278685360935;0.43982972219590766;0.4995906694894541;0.43423106335479017;0.45381817546854925;0.4693103354280207;0.4572494208461053;0.4660512778822325
External Fragmentation Per Link;1;<4-11>; ;0.6715871631307665;0.6658430154321855;0.6839452950389361;0.6828264920877651;0.6695858695164801;0.6857979805594192;0.6643282045386505;0.6740465293738963;0.6724840685326826;0.6765480494852466
External Fragmentation Per Link;1;<12-11>; ;0.35931383682035134;0.3778141037487445;0.3620848053809698;0.3691561948110343;0.3564117944715959;0.40990993521697;0.35847157416998804;0.3610381444205625;0.3581415179518231;0.3674478168079147
External Fragmentation Per Link;1;<14-13>; ;0.7177128002908567;0.7011733197098567;0.7254012735501706;0.7195759126142196;0.7111311654829707;0.7283322327463735;0.7222641751180451;0.7165820779351629;0.7131403703024874;0.7090928856232618
External Fragmentation Per Link;1;<12-13>; ;0.31876235249691426;0.31054187049779214;0.2904884180073346;0.29116287487813486;0.32363452259586695;0.2914138912683462;0.29842537345700193;0.3077120082179755;0.28710348480700804;0.3055917239643183
