Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Tx utilization geral;1;all;all;all; ;115.06085728119962;115.18073089037642;114.95788969255881;115.03603336478129;115.11959307346342;114.91488885893845;114.69626468195138;115.00493782789484;114.924031727491;115.16412437416076
Tx utilization geral;2;all;all;all; ;126.89520843004827;127.17096804788076;126.98110726747234;127.16257493847682;126.68511413610474;126.92794225556703;126.87633266943209;126.86787466742541;127.07140083162366;127.06427262879934
Tx utilization geral;3;all;all;all; ;138.6903015509332;138.7186745935477;138.62458431296204;138.65461461281578;138.50401884880523;138.51663596747383;138.4199120455646;138.2223779644688;138.4464161812201;138.29779814407155
Tx utilization geral;4;all;all;all; ;150.0241170862223;149.84886412986506;150.30536561989908;149.7523508593278;150.10754101961254;150.2079638198781;149.81793531705028;149.62362090739825;149.90748910553035;149.9321023705767
Tx utilization geral;5;all;all;all; ;161.50743120136175;161.3363074112344;161.10193629543107;160.606956487014;161.23774852618916;160.97721470965553;161.01672831463927;161.18500082363687;161.13023146692225;160.70394497107287


Rx utilization geral;1;all;all;all; ;115.06085728119962;115.18073089037642;114.95788969255881;115.03603336478129;115.11959307346342;114.91488885893845;114.69626468195138;115.00493782789484;114.924031727491;115.16412437416076
Rx utilization geral;2;all;all;all; ;126.89520843004827;127.17096804788076;126.98110726747234;127.16257493847682;126.68511413610474;126.92794225556703;126.87633266943209;126.86787466742541;127.07140083162366;127.06427262879934
Rx utilization geral;3;all;all;all; ;138.6903015509332;138.7186745935477;138.62458431296204;138.65461461281578;138.50401884880523;138.51663596747383;138.4199120455646;138.2223779644688;138.4464161812201;138.29779814407155
Rx utilization geral;4;all;all;all; ;150.0241170862223;149.84886412986506;150.30536561989908;149.7523508593278;150.10754101961254;150.2079638198781;149.81793531705028;149.62362090739825;149.90748910553035;149.9321023705767
Rx utilization geral;5;all;all;all; ;161.50743120136175;161.3363074112344;161.10193629543107;160.606956487014;161.23774852618916;160.97721470965553;161.01672831463927;161.18500082363687;161.13023146692225;160.70394497107287


